Country,Continent,Total_Cases,New_Cases,Total_deaths,New_deaths,Total_recovered,Active_Cases,Critical_cases,TotalCasesPerMilion,DeathPerMillion,TotalTests,TestPerMillion,Population
USA,North America,4433410,61571,150444,596,2136603,2146363,19100,13388,454,55018236,166145,331145197
Brazil,South America,2443480,23579,87679,627,1667667,688134,8318,11490,412,12601096,59252,212669472
India,Asia,1482503,46484,33448,636,953189,495866,8944,1074,24,16806803,12170,1380974594
Russia,Europe,818120,5635,13354,85,603329,201437,2300,5606,92,27141966,185981,145939220
South Africa,Africa,452529,7096,7067,298,274925,170537,539,7623,119,2802211,47206,59361137
Mexico,North America,390516,5480,43680,306,251505,95331,3922,3027,339,918381,7118,129029171
Peru,South America,389717,4920,18418,189,272547,98752,1439,11808,558,2250256,68182,33003766
Chile,South America,347923,2133,9187,75,319954,18782,1555,18189,480,1546097,80829,19128035
Spain,Europe,325862,2120,28434,,178456,118972,617,6969,608,6320836,135187,46756155
UK,Europe,300111,685,45759,7,152611,101741,104,4419,674,14981525,220601,67912305
Iran,Asia,293606,2434,15912,212,255144,22550,3819,3492,189,2353532,27995,84068250
Pakistan,Asia,274289,1176,5842,20,241026,27421,1229,1240,26,1890236,8546,221178468
Saudi Arabia,Asia,268934,1993,2760,27,222936,43238,2126,7717,79,3056956,87715,34851095
Colombia,South America,257101,8125,8777,252,131161,117163,1493,5049,172,1439436,28268,50921453
Italy,Europe,246286,170,35112,5,198593,12581,45,4074,581,6586123,108943,60454987
Turkey,Asia,227019,919,5630,17,210469,10920,1263,2690,67,4617971,54713,84403549
Bangladesh,Asia,226225,2772,2965,37,125683,97577,1,1373,18,1124417,6823,164806606
Germany,Europe,207379,638,9205,2,191400,6774,261,2475,110,7418812,88526,83803959
France,Europe,183079,514,30209,9,81082,71788,398,2804,463,2982302,45682,65284371
Argentina,South America,167416,4890,3059,120,72575,91782,1002,3702,68,647714,14322,45225564
Canada,North America,114597,686,8901,11,99860,5836,2225,3034,236,3863830,102310,37765990
Iraq,Asia,112585,2553,4458,96,77144,30983,415,2795,111,929839,23084,40281305
Qatar,Asia,109597,292,165,,106328,3104,92,39033,59,477194,169953,2807805
Indonesia,Asia,100303,1525,4838,57,58173,37292,,366,18,1394759,5095,273729387
Egypt,Africa,92482,420,4652,46,34838,52992,41,903,45,135000,1318,102463710
China,Asia,83891,61,4634,,78918,339,6,58,3,90410000,62814,1439323776
Kazakhstan,Asia,83122,1402,585,,52571,29966,221,4423,31,2064778,109872,18792532
Philippines,Asia,81995,1612,1943,14,26444,53608,351,748,18,1359829,12398,109682866
Ecuador,South America,81161,467,5532,17,34896,40733,350,4595,313,225293,12756,17661500
Sweden,Europe,79395,12,5700,11,40532,33163,49,7858,564,820606,81217,10103878
Oman,Asia,77058,1053,393,9,57028,19637,177,15065,77,300493,58749,5114887
Bolivia,South America,69429,1148,2583,48,21169,45677,71,5942,221,148857,12740,11684107
Belarus,Europe,67251,119,538,4,60492,6221,89,7117,57,1257399,133071,9449086
Belgium,Europe,66026,299,9821,,17439,38766,47,5695,847,1562934,134813,11593364
Ukraine,Europe,65656,807,1616,11,36112,27928,82,1502,37,970705,22206,43712999
Kuwait,Asia,64379,606,438,5,55057,8884,121,15060,102,489566,114520,4274932
Dominican Republic,North America,64156,1248,1083,20,30204,32869,268,5910,100,244643,22536,10855678
Israel,Asia,63985,2029,474,4,27133,36378,311,6957,52,1651766,179587,9197590
Panama,North America,61442,1146,1322,28,35086,25034,158,14225,306,211373,48935,4319425
UAE,Asia,59177,264,345,1,52510,6322,,5978,35,4875295,492513,9898815
Netherlands,Europe,53151,205,6141,1,25855,21155,16,3101,358,851885,49708,17137723
Singapore,Asia,50838,469,27,,45692,5119,,8685,5,1170049,199883,5853676
Portugal,Europe,50299,135,1719,2,35375,13205,45,4934,169,1528600,149945,10194402
Romania,Europe,45902,1104,2206,19,25794,17902,353,2387,115,1110534,57758,19227511
Guatemala,North America,45309,256,1761,27,32455,11093,5,2526,98,140925,7856,17937831
Poland,Europe,43402,337,1676,5,32856,8870,69,1147,44,2134334,56399,37843430
Nigeria,Africa,41180,648,860,2,18203,22117,7,199,4,266323,1290,206466283
Bahrain,Asia,39482,351,141,1,36110,3231,44,23156,83,798799,468492,1705044
Honduras,North America,39276,838,1116,18,4922,33238,61,3961,113,95574,9639,9915396
Armenia,Asia,37390,73,711,6,26665,10014,10,12616,240,157466,53132,2963660
Afghanistan,Asia,36263,106,1269,10,25198,9796,31,930,33,87378,2241,38985434
Switzerland,Europe,34477,65,1978,1,30900,1599,20,3982,228,764894,88333,8659226
Ghana,Africa,33624,655,168,,29801,3655,8,1081,5,378735,12172,31115726
Kyrgyzstan,Asia,33296,483,1301,24,21205,10790,24,5098,199,267718,40989,6531535
Azerbaijan,Asia,30446,396,423,6,23242,6781,66,3001,42,690386,68047,10145749
Japan,Asia,29989,607,996,,22116,6877,67,237,8,720501,5698,126446391
Algeria,Africa,27973,616,1163,8,18837,7973,58,637,26,0,0,43904415
Ireland,Europe,25892,11,1764,,23364,764,6,5239,357,614784,124408,4941694
Serbia,Europe,24141,411,543,9,14047,9551,171,2764,62,631274,72273,8734622
Moldova,Europe,23154,120,748,13,16154,6252,362,5741,185,128076,31755,4033238
Uzbekistan,Asia,21209,678,121,5,11674,9414,138,633,4,1377915,41128,33502769
Morocco,Africa,20887,609,316,3,16553,4018,31,565,9,1168113,31621,36941409
Austria,Europe,20558,86,713,1,18246,1599,16,2282,79,853169,94689,9010176
Nepal,Asia,18752,139,48,3,13754,4950,,643,2,659677,22613,29172149
Kenya,Africa,17975,372,285,5,7833,9857,44,334,5,279612,5193,53848724
Cameroon,Africa,17110,402,391,6,14539,2180,30,644,15,145000,5454,26588078
Venezuela,South America,15988,525,146,4,9959,5883,26,562,5,1502597,52853,28429691
Costa Rica,North America,15841,612,115,11,3824,11902,56,3108,23,81266,15942,5097460
Ivory Coast,Africa,15655,59,96,,10361,5198,,593,4,96097,3637,26420049
Czechia,Europe,15516,192,373,2,11428,3715,15,1449,35,660855,61702,10710478
El Salvador,North America,15035,405,408,8,7778,6849,491,2317,63,229186,35321,6488621
Australia,Oceania,14935,532,161,6,9311,5463,49,585,6,3977904,155869,25520783
Ethiopia,Africa,14547,579,228,5,6386,7933,66,126,2,389348,3381,115145696
South Korea,Asia,14175,25,299,1,12905,971,14,276,6,1526974,29782,51272531
Denmark,Europe,13547,109,613,,12417,517,3,2338,106,1455354,251195,5793723
Sudan,Africa,11424,39,720,3,5939,4765,,260,16,401,9,43915489
Bulgaria,Europe,10621,194,347,7,5585,4689,39,1529,50,243126,35011,6944275
Palestine,Asia,10621,152,78,2,3752,6791,,2079,15,155355,30408,5109092
Bosnia and Herzegovina,Europe,10498,183,294,7,4930,5274,,3201,90,132646,40451,3279204
North Macedonia,Europe,10213,127,466,6,5564,4183,55,4902,224,96194,46172,2083367
Senegal,Africa,9764,83,194,3,6477,3093,50,582,12,105443,6287,16771780
Madagascar,Africa,9690,395,91,6,6260,3339,88,349,3,38587,1391,27736194
Norway,Europe,9132,15,255,,8752,125,2,1684,47,427651,78840,5424314
Malaysia,Asia,8904,7,124,,8601,179,,275,4,937645,28944,32395042
DRC,Africa,8844,13,208,4,5700,2936,,99,2,0,0,89727453
French Guiana,South America,7514,182,42,1,6047,1425,25,25116,140,37081,123945,299172
Finland,Europe,7398,5,329,,6920,149,,1335,59,341000,61537,5541370
Haiti,North America,7315,18,157,,4365,2793,,641,14,17129,1501,11412306
Tajikistan,Asia,7235,43,60,1,6028,1147,,757,6,0,0,9551601
Gabon,Africa,7189,205,49,,4682,2458,11,3225,22,70059,31429,2229125
Guinea,Africa,7055,47,45,2,6257,753,24,536,3,14407,1095,13155137
Luxembourg,Europe,6321,49,112,,4825,1384,6,10087,179,400903,639731,626674
Mauritania,Africa,6208,37,156,,4653,1399,3,1333,33,57253,12293,4657377
Djibouti,Africa,5059,9,58,,4977,24,,5115,59,56366,56993,988994
Croatia,Europe,4881,24,139,3,3936,806,9,1190,34,112834,27499,4103265
Albania,Europe,4880,117,144,6,2745,1991,17,1696,50,34477,11981,2877556
CAR,Africa,4599,,59,,1546,2994,2,951,12,29361,6072,4835456
Zambia,Africa,4552,71,140,1,2815,1597,18,247,8,76072,4131,18416007
Paraguay,South America,4548,104,43,2,2905,1600,13,637,6,119256,16706,7138697
Hungary,Europe,4448,13,596,,3329,523,6,461,62,328583,34020,9658452
Greece,Europe,4227,34,202,,1374,2651,9,406,19,451317,43316,10419057
Lebanon,Asia,3882,132,51,,1709,2122,36,569,7,268761,39390,6823051
Malawi,Africa,3664,24,99,,1645,1920,4,191,5,27596,1440,19161288
Nicaragua,North America,3439,,108,,2492,839,,519,16,0,0,6630110
Maldives,Asia,3369,67,15,,2547,807,12,6225,28,74107,136934,541188
Thailand,Asia,3295,4,58,,3111,126,1,47,0.8,685316,9816,69813122
Congo,Africa,3200,162,54,3,829,2317,,579,10,0,0,5526784
Somalia,Africa,3196,18,93,,1543,1560,2,201,6,0,0,15920851
Equatorial Guinea,Africa,3071,,51,,842,2178,,2185,36,16000,11382,1405735
Mayotte,Africa,2900,38,38,,2672,190,1,10613,139,13000,47578,273238
Montenegro,Europe,2893,94,45,2,809,2039,7,4606,72,33612,53516,628072
Libya,Africa,2827,158,64,4,577,2186,,411,9,47038,6839,6877799
Sri Lanka,Asia,2805,23,11,,2121,673,1,131,0.5,153065,7146,21419915
Hong Kong,Asia,2779,145,22,4,1495,1262,40,370,3,524969,69983,7501381
Zimbabwe,Africa,2704,192,36,2,542,2126,,182,2,122770,8252,14877889
Cuba,North America,2532,37,87,,2351,94,1,224,8,250415,22110,11326087
Mali,Africa,2513,3,124,1,1913,476,,124,6,21698,1070,20286899
Cabo Verde,Africa,2328,21,22,,1550,756,,4184,40,41634,74825,556416
Eswatini,Africa,2316,109,34,2,1025,1257,5,1995,29,20784,17902,1161020
South Sudan,Africa,2305,43,46,1,1175,1084,,206,4,12044,1075,11202987
Slovakia,Europe,2181,2,28,,1616,537,2,399,5,253691,46465,5459843
Slovenia,Europe,2087,5,116,,1733,238,3,1004,56,127940,61540,2078960
Estonia,Europe,2034,,69,,1923,42,1,1533,52,117044,88228,1326603
Lithuania,Europe,2019,11,80,,1620,319,6,743,29,504056,185373,2719151
Guinea-Bissau,Africa,1954,,26,,803,1125,5,991,13,1500,761,1971003
Rwanda,Africa,1879,58,5,,975,899,,145,0.4,248294,19140,12972747
Iceland,Europe,1854,7,10,,1823,21,,5431,29,125513,367637,341405
Namibia,Africa,1843,68,8,,101,1734,24,724,3,23140,9096,2544005
Sierra Leone,Africa,1783,,66,,1317,400,,223,8,0,0,7987728
Benin,Africa,1770,,35,,1036,699,1,146,3,85863,7071,12143271
Mozambique,Africa,1701,32,11,,596,1094,,54,0.4,53465,1708,31309944
Yemen,Asia,1691,10,483,4,833,375,,57,16,120,4,29868907
New Zealand,Oceania,1556,,22,,1513,21,,311,4,456227,91207,5002100
Suriname,South America,1483,44,24,1,925,534,8,2526,41,1244,2119,587010
Tunisia,Africa,1455,3,50,,1157,248,3,123,4,90175,7624,11827424
Latvia,Europe,1219,,31,,1045,143,2,647,16,191871,101815,1884502
Uruguay,South America,1202,10,35,1,951,216,5,346,10,104958,30207,3474628
Jordan,Asia,1176,8,11,,1041,124,3,115,1,571390,55962,10210372
Liberia,Africa,1167,5,72,,646,449,,230,14,0,0,5065361
